gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
B4GALT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01312789,0.00900914,0,0.01207165,0.03149148,0.00879759,0.01238469,0.00591052,0.02637323,,,,,,,,,,0.02002023,0,0,0,0,0,0,0,0.01053939
,21.9608283,26.5967762,22.3404848,14.2188136,26.1773772,16.8420176,33.61232,14.6924465,24.4904162,,,,,,,,,,14.3131482,15.7213718,16.9508059,20.8605098,14.1157198,20.0331987,17.8277595,18.0341229,17.0485911,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAP17A,10.7202631,9.45430913,11.8273352,18.4043164,9.47308555,7.97725209,5.87918165,13.0650589,7.71111289,,,,,,,,,,22.9893033,18.6487085,17.7620986,7.82399981,41.1650373,14.0217384,16.5256074,14.1943655,24.0637459,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYM3,242.972611,248.940077,234.277975,198.889131,312.335857,190.017687,241.915473,179.899157,258.640163,,,,,,,,,,166.504731,246.212148,163.209062,202.169693,151.453725,220.174459,207.003001,250.359254,177.578674,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152.566908,181.268837,176.13951,167.631089,207.292163,149.450965,163.793459,216.50488,175.202196,194.927244,274.290514,241.335041,205.660542,191.667459,219.967714,186.116554,187.035949,217.559337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMPR1A,0.37003837,0.39106558,0.76784684,1.02497972,0.50449688,1.45065628,0.34628638,0.82571979,0.46178814,,,,,,,,,,1.92889742,1.25715462,0.7924063,1.1223528,1.41236262,0.81115429,1.10167071,1.1614327,1.49990254,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05192367,0,0,0,0,0.06959282,0.04898415,0,0.16689906,0.44465752,0.38190741,0,0,0.12237057,0.5275703,0,0.04795207,0.05339286,,,,,,,,,
TSC22D3,6.94861399,5.72200634,6.69956363,4.05665549,4.8673599,5.69168532,9.02611102,4.52047849,6.74098319,,,,,,,,,,2.77606286,4.20157999,4.49043742,3.31133729,2.73015166,4.09738228,5.09288526,5.61019311,4.9945347,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00277021,2.74884031,1.2725621,0.8057137,3.60321868,3.6909048,2.71599604,1.91611203,2.11231626,1.39352489,0.7891454,0.73822016,1.09326776,1.47500246,2.06670955,1.68652151,1.61838239,0.64357469,,,,,,,,,
PLAU,17.5545782,22.7540795,24.5178818,14.1822688,30.7859648,18.5281842,32.6800631,19.8519003,16.2899521,,,,,,,,,,10.2651719,18.1976244,14.5486973,18.1576681,8.13527449,13.8137166,19.6139034,17.0507361,12.583632,,,,,,,,,,,,,,,,,,,,,,,,,,,
